# powerstat, idle, screen off, after applying fw12powersave (Framework 12, i5-1334U, Omarchy/Hyprland)
# Result: 1.69 W average (down from ~4 W before; below the GNOME/Fedora ~2 W reference).

~ ❯ powerstat
Running for 300.0 seconds (30 samples at 10.0 second intervals).
Power measurements will start in 180 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
22:49:58   0.3   0.0   0.2  99.5   0.0    1    889    522   2.00
22:50:08   0.1   0.0   0.1  99.7   0.1    1    635    392   1.88
22:50:18   0.2   0.0   0.2  99.6   0.1    1    682    458   1.82
22:50:28   0.1   0.0   0.1  99.7   0.0    1    665    398   1.73
22:50:38   0.2   0.0   0.2  99.6   0.0    1    836    459   1.68
22:50:48   0.2   0.0   0.1  99.7   0.0    1    612    381   1.66
22:50:58   0.4   0.0   0.1  99.5   0.0    1    703    441   1.66
22:51:08   0.2   0.0   0.2  99.6   0.0    1    785    419   1.67
22:51:18   0.3   0.0   0.2  99.6   0.0    1    886    548   1.68
22:51:28   0.1   0.0   0.1  99.8   0.0    1    607    404   1.68
22:51:38   0.2   0.0   0.1  99.7   0.0    1    640    385   1.65
22:51:48   0.2   0.0   0.1  99.7   0.0    1    648    400   1.62
22:51:58   0.2   0.0   0.2  99.6   0.0    1    857    471   1.64
22:52:08   0.1   0.0   0.1  99.8   0.0    1    652    392   1.65
22:52:18   0.2   0.0   0.2  99.6   0.0    1    683    443   1.66
22:52:28   0.2   0.0   0.1  99.6   0.1    2    668    405   1.65
22:52:38   0.2   0.0   0.2  99.6   0.0    1    795    473   1.62
22:52:48   0.2   0.0   0.1  99.7   0.0    2    662    410   1.65
22:52:58   0.1   0.0   0.2  99.6   0.1    1    686    424   1.68
22:53:08   0.2   0.0   0.1  99.7   0.0    1    644    404   1.65
22:53:18   0.3   0.0   0.2  99.5   0.0    1    876    547   1.66
22:53:28   0.2   0.0   0.2  99.6   0.1    1    680    397   1.67
22:53:38   0.2   0.0   0.1  99.7   0.0    1    647    398   1.66
22:53:48   0.1   0.0   0.1  99.7   0.0    1    608    389   1.62
22:53:58   0.2   0.0   0.2  99.6   0.0    1    841    473   1.66
22:54:08   0.2   0.0   0.2  99.7   0.0    3    702    413   1.66
22:54:18   0.2   0.0   0.1  99.7   0.0    1    704    452   1.67
22:54:28   0.1   0.0   0.1  99.7   0.1    1    606    400   1.65
22:54:38   0.2   0.0   0.2  99.6   0.0    1    850    487   1.67
22:54:48   0.2   0.0   0.2  99.5   0.0    1    820    526   1.79
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------
 Average   0.2   0.0   0.1  99.7   0.0  1.1  719.0  437.0   1.69
 GeoMean   0.2   0.0   0.1  99.7   0.0  1.1  713.1  434.4   1.69
  StdDev   0.1   0.0   0.0   0.1   0.0  0.4   93.8   48.9   0.08
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------
 Minimum   0.1   0.0   0.1  99.5   0.0  1.0  605.9  380.8   1.62
 Maximum   0.4   0.0   0.2  99.8   0.1  3.0  889.1  548.3   2.00
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------
Summary:
System:   1.69 Watts on average with standard deviation 0.08
